Const,Your Rating,Date Rated,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
tt0105236,8,2019-05-06,Reservoir Dogs,https://www.imdb.com/title/tt0105236/,movie,8.3,99,1992,"Crime, Drama, Thriller",817991,1992-01-21,Quentin Tarantino
tt0107653,9,2019-05-05,Naked,https://www.imdb.com/title/tt0107653/,movie,7.9,132,1993,"Comedy, Drama",30033,1993-05-14,Mike Leigh
tt0114709,7,2019-05-06,Toy Story,https://www.imdb.com/title/tt0114709/,movie,8.3,81,1995,"Animation, Adventure, Comedy, Family, Fantasy",786624,1995-11-19,John Lasseter
tt0120363,9,2019-05-06,Toy Story 2,https://www.imdb.com/title/tt0120363/,movie,7.9,92,1999,"Animation, Adventure, Comedy, Family, Fantasy",466293,1999-11-13,"John Lasseter, Ash Brannon, Lee Unkrich"
tt1714915,9,2019-05-06,Only Lovers Left Alive,https://www.imdb.com/title/tt1714915/,movie,7.3,123,2013,"Comedy, Drama, Fantasy, Horror, Romance",80396,2013-05-25,Jim Jarmusch
tt1856101,10,2019-05-02,Blade Runner 2049,https://www.imdb.com/title/tt1856101/,movie,8.0,164,2017,"Drama, Mystery, Sci-Fi, Thriller",372148,2017-10-03,Denis Villeneuve
tt2406566,10,2019-05-06,Atomic Blonde,https://www.imdb.com/title/tt2406566/,movie,6.7,115,2017,"Action, Mystery, Thriller",148322,2017-03-12,David Leitch
tt0266697,9,2019-05-06,Kill Bill: Vol. 1,https://www.imdb.com/title/tt0266697/,movie,8.1,111,2003,"Action, Crime, Thriller",900242,2003-09-29,Quentin Tarantino
tt0361748,9,2019-05-06,Inglourious Basterds,https://www.imdb.com/title/tt0361748/,movie,8.3,153,2009,"Adventure, Drama, War",1111415,2009-05-20,"Quentin Tarantino, Eli Roth"
tt3783958,10,2019-05-06,La La Land,https://www.imdb.com/title/tt3783958/,movie,8.0,128,2016,"Comedy, Drama, Music, Musical, Romance",431423,2016-08-31,Damien Chazelle
tt3890160,5,2019-05-06,Baby Driver,https://www.imdb.com/title/tt3890160/,movie,7.6,112,2017,"Action, Crime, Drama, Music, Thriller",357262,2017-03-11,Edgar Wright
tt5013056,8,2019-05-05,Dunkirk,https://www.imdb.com/title/tt5013056/,movie,7.9,106,2017,"Action, Drama, History, Thriller, War",460861,2017-07-13,Christopher Nolan
tt5027774,7,2019-05-06,"Three Billboards Outside Ebbing, Missouri",https://www.imdb.com/title/tt5027774/,movie,8.2,115,2017,"Crime, Drama",337977,2017-09-04,Martin McDonagh
tt5580390,7,2019-05-06,The Shape of Water,https://www.imdb.com/title/tt5580390/,movie,7.3,123,2017,"Adventure, Drama, Fantasy, Romance, Thriller",303322,2017-08-31,Guillermo del Toro
tt0910970,9,2019-05-06,WALL·E,https://www.imdb.com/title/tt0910970/,movie,8.4,98,2008,"Animation, Adventure, Family, Sci-Fi",899882,2008-06-21,Andrew Stanton
